ID_Estudio;ID_Encuestado;Nivel de estudio;Estado;Carrera;Universidad
512;1121;;;;
513;1122;Universitario;Completo;Licenciatura en Ciencias Fí?sicas;UBA - Universidad de Buenos Aires
514;1123;Universitario;Incompleto;Antropologia;UNNNE - Universidad Nacional del Nordeste
515;1124;Universitario;Completo;Analista de Sistemas;
516;1125;Universitario;En curso;Licenciatura en Sistemas de Información;UBA - Universidad de Buenos Aires
517;1126;Posgrado/Especialización;Completo;Licenciatura en Aní¡lisis de Sistemas;UBA - Universidad de Buenos Aires
518;1127;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
519;1128;Universitario;Completo;Ingenierí?a Electrónica;
519;1129;;;;
520;1130;Universitario;En curso;Tecnicatura Superior en Programación;UNGS - Universidad Nacional de General Sarmiento
521;1131;Universitario;Completo;Tecnicatura en Programación;UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires
521;1132;;;;
521;1133;;;;
521;1134;;;;
522;1135;Terciario;Completo;Tecnicatura;
522;1136;;;;
523;1137;Terciario;En curso;tecnicatura en desarrollo de software;
523;1138;;;;
523;1139;;;;
523;1140;;;;
524;1141;Universitario;Completo;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
525;1142;Universitario;En curso;Ingenierí?a Electrónica;UTN - Universidad Tecnológica Nacional
526;1143;Universitario;Completo;Diseí±o de Imí¡gen y Sonido;UP - Universidad de Palermo
527;1144;Universitario;En curso;Licenciatura en Informí¡tica;Universidad Siglo 21
527;1145;;;;
528;1146;Terciario;En curso;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
528;1147;;;;
529;1148;Universitario;Completo;Diseí±o Grí¡fico;UBA - Universidad de Buenos Aires
529;1149;;;;
530;1150;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
531;1151;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
531;1152;;;;
531;1153;;;;
532;1154;Universitario;Completo;Analista de Sistemas;
532;1155;;;;
532;1156;;;;
532;1157;;;;
532;1158;;;;
532;1159;;;;
532;1160;;;;
533;1161;Universitario;Completo;Licenciatura en Informí¡tica;UP - Universidad de Palermo
533;1162;;;;
534;1163;Universitario;En curso;Analista Universitario de Sistemas;UTN - Universidad Tecnológica Nacional
535;1164;Terciario;Completo;Analista de Sistemas;
536;1165;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
536;1166;;;;
537;1167;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UADE - Universidad Argentina De la Empresa
537;1168;;;;
538;1169;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UTN - Universidad Tecnológica Nacional
539;1170;Terciario;Completo;Analista de Sistemas;
539;1171;;;;
539;1172;;;;
540;1173;Secundario;Completo;;
540;1174;;;;
540;1175;;;;
540;1176;;;;
540;1177;;;;
541;1178;Terciario;En curso;Analista de Sistemas;ORT
542;1179;Universitario;Completo;Ingenierí?a Electrónica;UNR - Universidad Nacional de Rosario
542;1180;;;;
543;1181;Terciario;En curso;Tecnicatura en Programación;UTN - Universidad Tecnológica Nacional
544;1182;Universitario;Completo;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
544;1183;;;;
545;1184;Universitario;En curso;Licenciatura en Ciencias de la Computación;UNCOMA - Universidad Nacional del Comahu
545;1185;;;;
545;1186;;;;
546;1187;Universitario;Completo;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
546;1188;;;;
547;1189;Universitario;Completo;Analista Universitario de Sistemas;UAI - Universidad Abierta Interamericana
547;1190;;;;
547;1191;;;;
547;1192;;;;
548;1193;Terciario;Completo;Tecnicatura en Informí¡tica;ORT
548;1194;;;;
549;1195;Universitario;En curso;Ingenierí?a en Informí¡tica;USAL - Universidad del Salvador
549;1196;;;;
549;1197;;;;
550;1198;Terciario;Incompleto;Sonido;
551;1199;Secundario;Completo;Trabajando por mi cuenta a los 17 aí±os arreglando computadoras;
551;1200;;;;
551;1201;;;;
551;1202;;;;
552;1203;Universitario;Completo;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
552;1204;;;;
553;1205;Universitario;Incompleto;Ingenieria en Sonido;
554;1206;Terciario;Incompleto;Produccion musical;Escuela Da Vinci
554;1207;;;;
554;1208;;;;
555;1209;Universitario;En curso;Ingenierí?a Electrónica;ITBA Instituto Tecnológico de Buenos Aires
555;1210;;;;
556;1211;Universitario;Incompleto;Ingenierí?a en Computación;UNC - Universidad Nacional de Córdoba
556;1212;;;;
557;1213;Universitario;En curso;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
558;1214;Universitario;Completo;Tecnicatura en Programación;UNLaM - Universidad Nacional de La Matanza
559;1215;Universitario;En curso;Ingenierí?a en Computación;
560;1216;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UAI - Universidad Abierta Interamericana
561;1217;Universitario;En curso;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
562;1218;Terciario;En curso;Analista de Sistemas;
563;1219;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
564;1220;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UTN - Universidad Tecnológica Nacional
565;1221;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
565;1222;;;;
565;1223;;;;
565;1224;;;;
565;1225;;;;
566;1226;Maestrí?a;Incompleto;Sociologí?a;UBA - Universidad de Buenos Aires
567;1227;Terciario;Completo;Tecnicatura Superior en Soporte de Infraestructuras;ISTEA - Instituto Superior Tecnológico Empresarial Argentino
567;1228;;;;
567;1229;;;;
567;1230;;;;
567;1231;;;;
567;1232;;;;
567;1233;;;;
567;1234;;;;
567;1235;;;;
567;1236;;;;
567;1237;;;;
567;1238;;;;
568;1239;Universitario;Completo;Licenciatura en Comunicación Social;UNC - Universidad Nacional de Córdoba
568;1240;;;;
568;1241;;;;
568;1242;;;;
569;1243;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
569;1244;;;;
570;1245;Universitario;Completo;Ingenierí?a en Sistemas de Información;
570;1246;;;;
570;1247;;;;
570;1248;;;;
571;1249;Universitario;Completo;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
572;1250;Universitario;En curso;Sociologí?a;UNSAM - Universidad de San Martí?n
572;1251;;;;
572;1252;;;;
572;1253;;;;
573;1254;Secundario;Completo;;
574;1255;Secundario;Completo;;
575;1256;Universitario;Completo;Ingenierí?a Industrial;UTN - Universidad Tecnológica Nacional
576;1257;Universitario;Completo;Ingenierí?a Electrónica;UBA - Universidad de Buenos Aires
577;1258;Terciario;Completo;Tecnicatura en Programación;
578;1259;Terciario;En curso;Tecnicatura Superior en Sistemas Informí¡ticos;UTN - Universidad Tecnológica Nacional
578;1260;;;;
579;1261;Universitario;En curso;Tecnicatura en Programación;UNSAM - Universidad de San Martí?n
580;1262;Universitario;Incompleto;Ingenierí?a en Computación;UNC - Universidad Nacional de Córdoba
581;1263;Terciario;Completo;Tecnicatura en Informí¡tica;
582;1264;Universitario;Completo;Ingenierí?a Industrial;UBA - Universidad de Buenos Aires
582;1265;;;;
582;1266;;;;
582;1267;;;;
583;1268;Universitario;Completo;Ingenierí?a en Sistemas de Información;UNS - Universidad Nacional del Sur
583;1269;;;;
584;1270;Universitario;Completo;Licenciatura en Sistemas de Información;UCAECE - Centro de Altos Estudios en Ciencias Exactas
584;1271;;;;
584;1272;;;;
585;1273;Universitario;Incompleto;Diseí±o de Imí¡gen y Sonido;
586;1274;Maestrí?a;En curso;Licenciatura en Geografia;
587;1275;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UAI - Universidad Abierta Interamericana
587;1276;;;;
588;1277;Universitario;En curso;Licenciatura en Sistemas de Información;UP - Universidad de Palermo
589;1278;Secundario;Completo;;
590;1279;Terciario;Incompleto;Relaciones Píºblicas;
590;1280;;;;
591;1281;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UAI - Universidad Abierta Interamericana
592;1282;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
592;1283;;;;
593;1284;Universitario;En curso;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
593;1285;;;;
593;1286;;;;
594;1287;Universitario;Incompleto;Licenciatura en Comunicación Social;UNR - Universidad Nacional de Rosario
594;1288;;;;
595;1289;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
596;1290;Terciario;Incompleto;Tecnicatura Superior en Programación;UTN - Universidad Tecnológica Nacional
596;1291;;;;
597;1292;Terciario;Completo;Tecnicatura Superior en Aní¡lisis de Sistemas;
597;1293;;;;
597;1294;;;;
597;1295;;;;
597;1296;;;;
598;1297;Universitario;Completo;Contador Píºblico;
599;1298;Terciario;En curso;Tecnicatura en Desarrollo Web y Apps Móviles;
600;1299;Universitario;Incompleto;Diseí±o de Imí¡gen y Sonido;UP - Universidad de Palermo
600;1300;;;;
600;1301;;;;
601;1302;Universitario;Completo;Ingenierí?a en Sistemas de Información;UAI - Universidad Abierta Interamericana
601;1303;;;;
601;1304;;;;
601;1305;;;;
602;1306;Universitario;Completo;Licenciatura en Sistemas de Información;UM - Universidad de Morón
603;1307;Universitario;Completo;Analista Programador Universitario;UNLaM - Universidad Nacional de La Matanza
604;1308;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
604;1309;;;;
604;1310;;;;
604;1311;;;;
605;1312;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
605;1313;;;;
606;1314;Secundario;Incompleto;soy tecnico, hago reparaciones, nunca estudia, se mas que muchos con titulos;
606;1315;;;;
606;1316;;;;
606;1317;;;;
606;1318;;;;
606;1319;;;;
607;1320;Universitario;En curso;Ingenierí?a Biomédica;
607;1321;;;;
608;1322;Universitario;Incompleto;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
608;1323;;;;
609;1324;Terciario;En curso;Analista de Sistemas;ORT
609;1325;;;;
609;1326;;;;
610;1327;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
610;1328;;;;
611;1329;Posgrado/Especialización;Completo;;UBA - Universidad de Buenos Aires
611;1330;;;;
612;1331;Terciario;Completo;Instrumentación quiríºrgica;
613;1332;Terciario;En curso;Analista de Sistemas;
614;1333;Terciario;En curso;Tecnicatura Superior en Desarrollo de Software;
615;1334;Secundario;Completo;Tecnicatura Electrónica;UNR - Universidad Nacional de Rosario
615;1335;;;;
616;1336;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UP - Universidad de Palermo
616;1337;;;;
617;1338;Universitario;Incompleto;Analista de Sistemas;
617;1339;;;;
618;1340;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
619;1341;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
620;1342;Terciario;En curso;Analista de Sistemas;ISTEA - Instituto Superior Tecnológico Empresarial Argentino
620;1343;;;;
620;1344;;;;
620;1345;;;;
620;1346;;;;
621;1347;Maestrí?a;En curso;Maestrí?a en minerí?a de datos;UTN - Universidad Tecnológica Nacional
622;1348;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
623;1349;Universitario;Completo;Ingenierí?a en Informí¡tica;UADE - Universidad Argentina De la Empresa
623;1350;;;;
623;1351;;;;
624;1352;Terciario;Completo;Adm superion de la produccion grafica;
624;1353;;;;
625;1354;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
626;1355;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
626;1356;;;;
626;1357;;;;
627;1358;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
627;1359;;;;
627;1360;;;;
627;1361;;;;
627;1362;;;;
627;1363;;;;
627;1364;;;;
628;1365;Universitario;Completo;Tecnicatura en Licenciatura en Administración de Empresas;UTN - Universidad Tecnológica Nacional
629;1366;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
629;1367;;;;
630;1368;Secundario;Completo;;
631;1369;Universitario;Completo;Ingenierí?a Electrónica;UBA - Universidad de Buenos Aires
632;1370;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
633;1371;Posdoctorado;Completo;Doctorado en Ciencias Fí?sicas;UBA - Universidad de Buenos Aires
634;1372;Universitario;Incompleto;Analista de Sistemas;UTN - Universidad Tecnológica Nacional
634;1373;;;;
634;1374;;;;
635;1375;Universitario;Completo;Tecnicatura Superior en Aní¡lisis de Sistemas;
636;1376;Universitario;Completo;Ingenierí?a en Sistemas de Información;UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires
636;1377;;;;
636;1378;;;;
637;1379;Terciario;Completo;Analista de Sistemas;Universidad Siglo 21
638;1380;Universitario;En curso;Licenciatura en Informí¡tica;Universidad Siglo 21
638;1381;;;;
638;1382;;;;
639;1383;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
639;1384;;;;
640;1385;Terciario;En curso;Analista Programador Universitario;UNNNE - Universidad Nacional del Nordeste
641;1386;Universitario;Incompleto;Licenciatura en Informí¡tica;UNQ - Universidad Nacional de Quilmes
642;1387;Universitario;En curso;Licenciatura en Sistemas de Información;UNLaR - Universidad Nacional De La Rioja
642;1388;;;;
643;1389;Posgrado/Especialización;Completo;Ingenierí?a Electrónica;UTN - Universidad Tecnológica Nacional
644;1390;Terciario;Completo;Analista de Sistemas;
645;1391;Terciario;Completo;Tecnicatura Electrónica;UNR - Universidad Nacional de Rosario
645;1392;;;;
646;1393;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UNLaR - Universidad Nacional De La Rioja
647;1394;Universitario;Completo;Licenciatura en Ciencias de la Computación;UNS - Universidad Nacional del Sur
647;1395;;;;
648;1396;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UNL - Universidad Nacional del Litoral
649;1397;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
649;1398;;;;
650;1399;Terciario;Incompleto;Telecomunicaciones;UNCUYO - Universidad Nacional de Cuyo
651;1400;Maestrí?a;En curso;Maestria en innovación y emprendimiento;
651;1401;;;;
651;1402;;;;
651;1403;;;;
652;1404;Universitario;En curso;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
652;1405;;;;
652;1406;;;;
653;1407;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
654;1408;Universitario;Completo;Licenciatura en Administración de Empresas;UBA - Universidad de Buenos Aires
655;1409;Universitario;Completo;Tecnicatura Universitaria en Redes Informaticas;UNSAM - Universidad de San Martí?n
656;1410;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
657;1411;Universitario;Incompleto;Ingenierí?a Electrónica;
658;1412;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
658;1413;;;;
659;1414;Posgrado/Especialización;Completo;Licenciatura en Sistemas de Información;UBA - Universidad de Buenos Aires
659;1415;;;;
660;1416;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
661;1417;Doctorado;Incompleto;Biologí?a;UNLP - Universidad Nacional de La Plata
662;1418;Universitario;En curso;Tecnicatura Superior en Programación;UTN - Universidad Tecnológica Nacional
663;1419;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
663;1420;;;;
664;1421;Universitario;Completo;Ingenierí?a Aeroní¡utica;UTN - Universidad Tecnológica Nacional
664;1422;;;;
665;1423;Terciario;Completo;Tecnicatura Superior en Aní¡lisis de Sistemas;
665;1424;;;;
665;1425;;;;
665;1426;;;;
665;1427;;;;
665;1428;;;;
665;1429;;;;
666;1430;Universitario;En curso;Analista de Sistemas;UK - Universidad Kennedy
666;1431;;;;
666;1432;;;;
666;1433;;;;
666;1434;;;;
666;1435;;;;
667;1436;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
667;1437;;;;
667;1438;;;;
668;1439;Universitario;En curso;Ingenierí?a en Computación;UNLP - Universidad Nacional de La Plata
669;1440;Terciario;En curso;Tecnicatura en Programación;UTN - Universidad Tecnológica Nacional
670;1441;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
670;1442;;;;
671;1443;Universitario;Completo;Licenciatura en Sistemas de Información;ISTEA - Instituto Superior Tecnológico Empresarial Argentino
672;1444;Secundario;Completo;Telecomunicaciones;
672;1445;;;;
672;1446;;;;
673;1447;Terciario;Completo;Diseí±o Grí¡fico;UNC - Universidad Nacional de Córdoba
673;1448;;;;
674;1449;Universitario;Completo;Diseí±o Grí¡fico;UBA - Universidad de Buenos Aires
675;1450;Universitario;Completo;Licenciatura en Matemí¡tica;
676;1451;Universitario;En curso;Licenciatura en Informí¡tica;UNL - Universidad Nacional del Litoral
677;1452;Maestrí?a;En curso;magister en ciencia de datos;
678;1453;Posgrado/Especialización;Completo;Licenciatura en Aní¡lisis de Sistemas;UBA - Universidad de Buenos Aires
679;1454;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
679;1455;;;;
679;1456;;;;
680;1457;Universitario;Completo;Diseí±o Grí¡fico;
680;1458;;;;
681;1459;Universitario;Completo;Diseí±o Grí¡fico;UNLP - Universidad Nacional de La Plata
682;1460;Maestrí?a;Completo;Filosofí?a;
683;1461;Universitario;Completo;Ingenierí?a en Informí¡tica;UADE - Universidad Argentina De la Empresa
683;1462;;;;
684;1463;Universitario;En curso;Ingenierí?a Electromecí¡nica;UTN - Universidad Tecnológica Nacional
685;1464;Universitario;Completo;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
685;1465;;;;
686;1466;Posgrado/Especialización;Completo;Ingenierí?a en Telecomunicaciones;UTN - Universidad Tecnológica Nacional
687;1467;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
688;1468;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
689;1469;Universitario;Completo;Ingenieria Mecanica;
690;1470;Universitario;En curso;Licenciatura en Informí¡tica;UNQ - Universidad Nacional de Quilmes
690;1471;;;;
691;1472;Universitario;En curso;Ingenierí?a en Informí¡tica;
691;1473;;;;
692;1474;Universitario;En curso;Ingenierí?a Electrónica;UTN - Universidad Tecnológica Nacional
692;1475;;;;
692;1476;;;;
693;1477;Universitario;En curso;Analista Universitario de Ciberseguridad;UNR - Universidad Nacional de Rosario
693;1478;;;;
693;1479;;;;
693;1480;;;;
694;1481;Terciario;Completo;Analista de Sistemas;
694;1482;;;;
695;1483;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
695;1484;;;;
695;1485;;;;
696;1486;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
696;1487;;;;
696;1488;;;;
697;1489;Universitario;En curso;Ingenierí?a en Sistemas de Información;
697;1490;;;;
697;1491;;;;
698;1492;Universitario;Completo;Licenciatura en Comunicación digital e interactiva;UCA - Universidad Católica Argentina
699;1493;Universitario;En curso;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
700;1494;Universitario;Incompleto;Ingenierí?a en Informí¡tica;
700;1495;;;;
700;1496;;;;
700;1497;;;;
701;1498;Secundario;Completo;Bachiller contable;
701;1499;;;;
701;1500;;;;
701;1501;;;;
701;1502;;;;
701;1503;;;;
701;1504;;;;
702;1505;Universitario;Completo;Ingenierí?a Electrónica;UTN - Universidad Tecnológica Nacional
703;1506;Universitario;Completo;Ingenierí?a Electrónica;UTN - Universidad Tecnológica Nacional
703;1507;;;;
704;1508;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
705;1509;Universitario;Completo;Licenciatura en Organización Industrial;UTN - Universidad Tecnológica Nacional
705;1510;;;;
706;1511;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UNL - Universidad Nacional del Litoral
707;1512;Terciario;Completo;Tecnicatura en Programación;UCAECE - Centro de Altos Estudios en Ciencias Exactas
708;1513;Secundario;Completo;;
708;1514;;;;
708;1515;;;;
709;1516;Universitario;Completo;Licenciatura en Sistemas de Información;
709;1517;;;;
709;1518;;;;
709;1519;;;;
710;1520;Universitario;Completo;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
710;1521;;;;
710;1522;;;;
711;1523;Universitario;En curso;Licenciatura en Sistemas de Información;UBA - Universidad de Buenos Aires
712;1524;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
713;1525;Universitario;Completo;Tecnicatura Superior en Programación;UNCOMA - Universidad Nacional del Comahu
713;1526;;;;
713;1527;;;;
713;1528;;;;
713;1529;;;;
714;1530;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
714;1531;;;;
714;1532;;;;
715;1533;Maestrí?a;En curso;;UBA - Universidad de Buenos Aires
715;1534;;;;
716;1535;Universitario;Completo;Ingenierí?a en Informí¡tica;UADE - Universidad Argentina De la Empresa
716;1536;;;;
717;1537;Terciario;Incompleto;Analista de Sistemas;UTN - Universidad Tecnológica Nacional
718;1538;Doctorado;Completo;Licenciatura en ciencias biológicas;UBA - Universidad de Buenos Aires
719;1539;Universitario;Completo;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
720;1540;Secundario;Completo;;
721;1541;Universitario;En curso;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
721;1542;;;;
722;1543;Terciario;Completo;Analista de Sistemas;ORT
723;1544;Universitario;En curso;Licenciatura en Marketing;Universidad Siglo 21
723;1545;;;;
723;1546;;;;
724;1547;Universitario;Completo;licenciado en estrategia contemporanea;Universidad Maimónides
724;1548;;;;
724;1549;;;;
724;1550;;;;
725;1551;Universitario;En curso;Tecnicatura en Programación;UTN - Universidad Tecnológica Nacional
726;1552;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
726;1553;;;;
726;1554;;;;
726;1555;;;;
727;1556;Universitario;En curso;Licenciatura en Informí¡tica;UTN - Universidad Tecnológica Nacional
727;1557;;;;
728;1558;Universitario;Completo;Ingenierí?a en Informí¡tica;
728;1559;;;;
728;1560;;;;
729;1561;Universitario;Completo;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
729;1562;;;;
729;1563;;;;
729;1564;;;;
730;1565;Universitario;En curso;Licenciatura en ciberseguridad;UBA - Universidad de Buenos Aires
730;1566;;;;
730;1567;;;;
730;1568;;;;
731;1569;Universitario;Completo;Ingenierí?a en Informí¡tica;
732;1570;Universitario;Completo;Arquitectura;
732;1571;;;;
732;1572;;;;
733;1573;Doctorado;Completo;Licenciatura en Ciencias de la Computación;
734;1574;Universitario;Incompleto;diseí±o industrial;
735;1575;Universitario;En curso;Licenciatura en Psicologí?a;UBA - Universidad de Buenos Aires
736;1576;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
736;1577;;;;
737;1578;Universitario;Incompleto;Ingenierí?a Industrial;UTN - Universidad Tecnológica Nacional
738;1579;Universitario;En curso;Ingenierí?a en Informí¡tica;UADE - Universidad Argentina De la Empresa
739;1580;Maestrí?a;En curso;Ingenierí?a en Telecomunicaciones;
740;1581;Secundario;Completo;;
741;1582;Posgrado/Especialización;Completo;Licenciatura en Administración de Empresas;UNC - Universidad Nacional de Córdoba
741;1583;;;;
741;1584;;;;
742;1585;Posgrado/Especialización;Completo;Lic. en recursos humanos;UADE - Universidad Argentina De la Empresa
743;1586;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
743;1587;;;;
744;1588;Terciario;Incompleto;Analista de Sistemas;ESBA - Escuela Superior Buenos Aires
744;1589;;;;
744;1590;;;;
744;1591;;;;
744;1592;;;;
745;1593;Universitario;En curso;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
746;1594;Secundario;Completo;;
747;1595;Terciario;En curso;Analista de Sistemas;ORT
747;1596;;;;
748;1597;Universitario;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
748;1598;;;;
748;1599;;;;
749;1600;Terciario;Completo;Analista de Sistemas;
749;1601;;;;
749;1602;;;;
749;1603;;;;
749;1604;;;;
749;1605;;;;
749;1606;;;;
749;1607;;;;
750;1608;Universitario;Completo;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
751;1609;Universitario;En curso;Licenciatura en Sistemas de Información;UBA - Universidad de Buenos Aires
751;1610;;;;
751;1611;;;;
751;1612;;;;
751;1613;;;;
751;1614;;;;
751;1615;;;;
752;1616;Universitario;En curso;Analista de Sistemas;UM - Universidad de Morón
753;1617;Universitario;En curso;Ingenierí?a Electrónica;UBA - Universidad de Buenos Aires
753;1618;;;;
753;1619;;;;
753;1620;;;;
754;1621;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
754;1622;;;;
754;1623;;;;
754;1624;;;;
755;1625;Universitario;Completo;Analista de Sistemas;UCAECE - Centro de Altos Estudios en Ciencias Exactas
756;1626;Universitario;En curso;Ingenierí?a Electrónica;
756;1627;;;;
756;1628;;;;
757;1629;Universitario;En curso;Licenciatura en Sistemas de Información;UP - Universidad de Palermo
758;1630;Universitario;En curso;Ingenierí?a en Computación;
758;1631;;;;
758;1632;;;;
759;1633;Maestrí?a;Completo;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
760;1634;Universitario;En curso;Tecnicatura Superior en Programación;UTN - Universidad Tecnológica Nacional
760;1635;;;;
761;1636;Universitario;En curso;Licenciatura en Ciencias de la Computación;UBA - Universidad de Buenos Aires
762;1637;Secundario;Completo;;
762;1638;;;;
762;1639;;;;
763;1640;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UNLaM - Universidad Nacional de La Matanza
763;1641;;;;
763;1642;;;;
764;1643;Universitario;Completo;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
765;1644;Universitario;En curso;Licenciatura en Sistemas de Información;
766;1645;Universitario;En curso;Ingenierí?a Biomédica (en Universidad Nacional de Tucumí¡n, no estí¡ la opción);
767;1646;Maestrí?a;En curso;Telecomunicaciones;UTN - Universidad Tecnológica Nacional
768;1647;Terciario;Completo;Diplomatura en experiencias digitales accesibles;UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires
768;1648;;;;
768;1649;;;;
769;1650;Universitario;Incompleto;Ingenierí?a en Informí¡tica;UBA - Universidad de Buenos Aires
770;1651;Universitario;Incompleto;Licenciatura en Ciencias de la Computación;UNS - Universidad Nacional del Sur
770;1652;;;;
770;1653;;;;
770;1654;;;;
771;1655;Universitario;Incompleto;Ingenierí?a en Sistemas de Información;UTN - Universidad Tecnológica Nacional
772;1656;Terciario;Completo;Tecnicatura Superior en Aní¡lisis de Sistemas;
773;1657;Terciario;Completo;Tecnicatura Superior en Aní¡lisis de Sistemas;ESBA - Escuela Superior Buenos Aires
773;1658;;;;
774;1659;Universitario;En curso;Licenciatura en Sistemas de Información;UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires
774;1660;;;;
